,round,model 1 train acc,model 1 train loss,model 2 train acc,model 2 train loss,model 1 test acc,model 1 test loss,model 2 test acc,model 2 test loss
27,270,0.7572881076417837,1.108516100842905,0.5784978308515376,1.7422203977772521,0.755627852706025,1.1066695002920828,0.5714059213642233,1.744320541287075
28,280,0.7642218083305093,1.1069480227557806,0.5804420989727712,1.7399993275874563,0.7627787650266002,1.105140289758478,0.572588319364795,1.7420553132581453
29,290,0.7679510390794335,1.1057513268663044,0.5793019168682408,1.737681982890863,0.7680401508400685,1.1039679809864797,0.5740091432143368,1.7397495131471474
30,300,0.7627825555348275,1.1047543791469556,0.5818725093550811,1.7358694836072215,0.760610972901824,1.1029512724202233,0.5761668625752628,1.7379353149817738
31,310,0.7619811315837646,1.103560918785557,0.5821997655762549,1.733882200262964,0.7603805450773122,1.1017353991498926,0.5775542243140946,1.7359029290854426
32,320,0.7697280439980441,1.1022055424238593,0.5853029402986412,1.7320207456326429,0.7697140417574974,1.100472221792939,0.5792218816684696,1.734042021432287
33,330,0.7695677874064601,1.1011528906311177,0.5854637401363427,1.7301987111683341,0.7682775712896168,1.0994099440166558,0.5802003873027303,1.732166336790451
34,340,0.7674763660008445,1.100137143408048,0.5864451925972513,1.7287106079694943,0.7661263389199264,1.09838281077266,0.5801885234460962,1.730619956230143
35,350,0.7681260469852759,1.0992895343736584,0.5865984576105296,1.7271032358879481,0.7663867895194675,1.0975433777135983,0.5806662114742224,1.728987285159327
36,360,0.7716876063389697,1.098257993895822,0.5893473177551918,1.7254733258977522,0.7725834461089264,1.0965506031350991,0.5842578315786682,1.7273089976359444
37,370,0.7687833620971355,1.0974443752775307,0.5885732188491775,1.7243491548501995,0.7670888226789984,1.0957041916163865,0.5840227626304182,1.7262079400357229
38,380,0.7654031210173357,1.0967468750033365,0.5910307689970394,1.7228330131691976,0.7639720393723538,1.0949916018197512,0.5859515518198056,1.7246539883987666
39,390,0.7660479880140187,1.096102675774875,0.5948493137586259,1.721217171609999,0.7646786687999934,1.0943496562684143,0.5885993272153608,1.722973423697623
40,400,0.7675088808232822,1.0951574044495982,0.5929562929066863,1.7200003365828793,0.7670823174426931,1.0933981727214162,0.5883742157707853,1.721724781228564
41,410,0.7674978133450883,1.094213738761779,0.5936038278762142,1.7187296310547415,0.7663756127662789,1.0924744292542212,0.5883814475535157,1.7204196859113785
42,420,0.7710487149591654,1.093448510107713,0.5953743120388989,1.7175152437817434,0.7701846691151293,1.0917348571770817,0.5890942781972923,1.719186552299751
43,430,0.7718680439040337,1.0925361441309027,0.5957302992154334,1.7164372600034832,0.7706791164521168,1.0908253876608707,0.5902879396169928,1.7180949738256364
44,440,0.7705823894734045,1.0918977463771586,0.5968209154226649,1.7152701954177094,0.7692228587312683,1.0901857743710395,0.5924554696334938,1.7169027677065791
45,450,0.7734950782296772,1.0911639622637375,0.5999190992968135,1.7140132223838278,0.7723220410387968,1.0894601575128373,0.5943704702715091,1.7156188236628482
46,460,0.7739868213471781,1.0904803074718257,0.6006079060454189,1.7130391477343663,0.7735268062092512,1.088762715826516,0.5936455623087445,1.7145898511364723
47,470,0.7749544666839003,1.089817882405627,0.6007683662482847,1.7118605760858898,0.774000570603188,1.088121805319946,0.5941234918813642,1.713384904214393
48,480,0.778031239324179,1.0891768415799579,0.6019009436747134,1.7107746290903232,0.7782981639503495,1.0875055253356352,0.5950939179880178,1.7122693270582738
49,490,0.7791543169441344,1.0882712849857445,0.6027170044818438,1.7098034662334571,0.7806564539286082,1.0866155495024132,0.5958077063920453,1.7112207079770112
50,500,0.7794823266967205,1.0875981607594303,0.604002021187061,1.7087958322388443,0.7813663514767287,1.0859381958623988,0.597732600608626,1.710186365058354
